"user","polarity","ind","mz","rt","swipe","date"
"Louise","Pos","189","127.03903","193.165","Right","2017-10-04 15:13:14"
"Louise","Pos","6364","241.06777","673.373","left","2017-10-04 15:13:14"
"Louise","Pos","9121","281.98165","520.1005","Right","2017-10-04 15:13:14"
"Louise","Pos","29617","551.22692","960.976","Right","2017-10-04 15:13:14"
"Louise","Pos","31892","591.21916","960.957","Right","2017-10-04 15:13:14"
"Louise","Pos","42665","1450.53315","899.4995","Right","2017-10-04 15:13:14"
"Louise","Pos","37127","718.28778","899.4715","Right","2017-10-04 15:13:14"
"Louise","Pos","17489","385.16206","855.902","Right","2017-10-04 15:20:51"
"Louise","Pos","37448","727.27398","899.412","Right","2017-10-04 15:20:51"
"Louise","Pos","37465","727.77556","899.802","Right","2017-10-04 15:20:51"
"Louise","Pos","6361","241.03918","867.557","left","2017-10-04 15:20:51"
"Louise","Pos","42646","1419.60272","899.412","Right","2017-10-04 15:20:51"
"Louise","Pos","14004","343.15335","798.7345","Right","2017-10-04 15:20:51"
"Louise","Pos","19703","413.15659","901.027","Right","2017-10-04 15:20:51"
"Louise","Pos","42642","1414.64793","898.538","Right","2017-10-04 15:20:51"
"Louise","Pos","7656","261.02225","72.1468","Right","2017-10-04 15:20:51"
"Louise","Pos","3879","196.06024","463.9285","Right","2017-10-04 15:20:51"
"Louise","Pos","9569","288.0532","261.312","Up","2017-10-04 15:20:51"
"Louise","Pos","6130","236.11247","672.8525","left","2017-10-04 15:20:51"
"Louise","Pos","12512","325.14283","798.884","Right","2017-10-04 15:20:51"
"Louise","Pos","42633","1403.60847","939.484","Right","2017-10-04 15:20:51"
"Louise","Pos","7217","254.0476","628.884","left","2017-10-04 15:20:51"
"Louise","Pos","37155","718.78959","899.1765","Right","2017-10-04 15:20:51"
"Louise","Pos","42659","1434.53828","939.484","Right","2017-10-04 15:20:51"
"Louise","Pos","42630","1398.6533","939.3685","Right","2017-10-04 15:20:51"
"Louise","Pos","652","137.05965","853.629","Right","2017-10-04 15:20:51"
"Louise","Pos","42624","1381.62667","939.3085","Right","2017-10-04 15:20:51"
"Louise","Pos","36884","710.79186","939.624","Right","2017-10-04 15:20:51"
"Louise","Pos","9595","288.14641","259.9165","left","2017-10-04 15:20:51"
"Louise","Pos","36864","710.29004","939.9415","Right","2017-10-04 15:20:51"
"Louise","Pos","14003","343.15371","854.233","Right","2017-10-04 15:20:51"
"Louise","Pos","37246","720.77651","939.156","Right","2017-10-04 15:20:51"
"Louise","Pos","34476","647.15705","750.7475","Right","2017-10-04 15:20:51"
"Louise","Pos","33534","625.17565","750.5795","Right","2017-10-04 15:20:51"
"Louise","Pos","37125","718.27653","939.359","Right","2017-10-04 15:20:51"
"Louise","Pos","14216","345.13287","847.837","Right","2017-10-04 15:20:51"
"Louise","Pos","30927","574.23338","938.345","Up","2017-10-04 15:20:51"
"Louise","Pos","11104","307.11475","597.43","Right","2017-10-04 15:20:51"
"Louise","Pos","39940","828.4731","970.5245","Right","2017-10-04 15:20:51"
"Louise","Pos","40550","864.3578","970.3905","Right","2017-10-04 15:20:51"
"Louise","Pos","24715","479.11786","750.784","Right","2017-10-04 15:20:51"
"Louise","Pos","22017","442.26936","538.3935","Right","2017-10-04 15:20:51"
"Louise","Pos","8741","277.10431","525.522","Right","2017-10-04 15:20:51"
"Louise","Pos","37153","718.77789","939.9485","Right","2017-10-04 15:20:51"
"Louise","Pos","31769","589.12144","63.052","Up","2017-10-04 15:20:51"
"Louise","Pos","22930","454.69999","970.2955","Right","2017-10-04 15:20:51"
"Louise","Pos","23970","468.80067","1111.22","left","2017-10-04 15:20:51"
"Louise","Pos","22030","442.51174","750.194","left","2017-10-04 15:20:51"
"Louise","Pos","4618","209.15345","650.1885","Right","2017-10-04 15:20:51"
"Louise","Pos","10198","295.99736","640.56","Right","2017-10-04 15:20:51"
"Louise","Pos","6923","249.11153","686.395","Up","2017-10-04 15:20:51"
"Louise","Pos","29794","554.1301","456.0715","left","2017-10-04 15:20:51"
"Louise","Pos","17489","385.16206","855.902","Right","2017-10-04 15:20:51"
"Louise","Pos","37448","727.27398","899.412","Right","2017-10-04 15:20:51"
"Louise","Pos","37465","727.77556","899.802","Right","2017-10-04 15:20:51"
"Louise","Pos","6361","241.03918","867.557","left","2017-10-04 15:20:51"
"Louise","Pos","42646","1419.60272","899.412","Right","2017-10-04 15:20:51"
"Louise","Pos","14004","343.15335","798.7345","Right","2017-10-04 15:20:51"
"Louise","Pos","19703","413.15659","901.027","Right","2017-10-04 15:20:51"
"Louise","Pos","42642","1414.64793","898.538","Right","2017-10-04 15:20:51"
"Louise","Pos","7656","261.02225","72.1468","Right","2017-10-04 15:20:51"
"Louise","Pos","3879","196.06024","463.9285","Right","2017-10-04 15:20:51"
"Louise","Pos","9569","288.0532","261.312","Up","2017-10-04 15:20:51"
"Louise","Pos","6130","236.11247","672.8525","left","2017-10-04 15:20:51"
"Louise","Pos","12512","325.14283","798.884","Right","2017-10-04 15:20:51"
"Louise","Pos","42633","1403.60847","939.484","Right","2017-10-04 15:20:51"
"Louise","Pos","7217","254.0476","628.884","left","2017-10-04 15:20:51"
"Louise","Pos","37155","718.78959","899.1765","Right","2017-10-04 15:20:51"
"Louise","Pos","42659","1434.53828","939.484","Right","2017-10-04 15:20:51"
"Louise","Pos","42630","1398.6533","939.3685","Right","2017-10-04 15:20:51"
"Louise","Pos","652","137.05965","853.629","Right","2017-10-04 15:20:51"
"Louise","Pos","42624","1381.62667","939.3085","Right","2017-10-04 15:20:51"
"Louise","Pos","36884","710.79186","939.624","Right","2017-10-04 15:20:51"
"Louise","Pos","9595","288.14641","259.9165","left","2017-10-04 15:20:51"
"Louise","Pos","36864","710.29004","939.9415","Right","2017-10-04 15:20:51"
"Louise","Pos","14003","343.15371","854.233","Right","2017-10-04 15:20:51"
"Louise","Pos","37246","720.77651","939.156","Right","2017-10-04 15:20:51"
"Louise","Pos","34476","647.15705","750.7475","Right","2017-10-04 15:20:51"
"Louise","Pos","33534","625.17565","750.5795","Right","2017-10-04 15:20:51"
"Louise","Pos","37125","718.27653","939.359","Right","2017-10-04 15:20:51"
"Louise","Pos","14216","345.13287","847.837","Right","2017-10-04 15:20:51"
"Louise","Pos","30927","574.23338","938.345","Up","2017-10-04 15:20:51"
"Louise","Pos","11104","307.11475","597.43","Right","2017-10-04 15:20:51"
"Louise","Pos","39940","828.4731","970.5245","Right","2017-10-04 15:20:51"
"Louise","Pos","40550","864.3578","970.3905","Right","2017-10-04 15:20:51"
"Louise","Pos","24715","479.11786","750.784","Right","2017-10-04 15:20:51"
"Louise","Pos","22017","442.26936","538.3935","Right","2017-10-04 15:20:51"
"Louise","Pos","8741","277.10431","525.522","Right","2017-10-04 15:20:51"
"Louise","Pos","37153","718.77789","939.9485","Right","2017-10-04 15:20:51"
"Louise","Pos","31769","589.12144","63.052","Up","2017-10-04 15:20:51"
"Louise","Pos","22930","454.69999","970.2955","Right","2017-10-04 15:20:51"
"Louise","Pos","23970","468.80067","1111.22","left","2017-10-04 15:20:51"
