"index","mzmed","rtmed","matched","qSvsMB","qSvsNC","modelPredicted","predictVal","MB_0","MB_1","MB_2.5","MB_4.5","MB_6.5","MB_8.5","MB_26.5","NC_0","NC_1","NC_2.5","NC_4.5","NC_6.5","NC_8.5","NC_26.5","S1_0","S1_1","S1_2.5","S1_4.5","S1_6.5","S1_8.5","S1_26.5","S2_0","S2_1","S2_2.5","S2_4.5","S2_6.5","S2_8.5","S2_26.5","S3_0","S3_1","S3_2.5","S3_4.5","S3_6.5","S3_8.5","S3_26.5"
"1",3,121.02819,981.2885,0,0.677477454098829,0.211335475315694,FALSE,1,44.55,117.6,83.13,384.33,694.07,679.19,714.38,941.1,1281.55,785.75,1149.15,1600.83,1998.89,1998.89,1143.4,1052.8,920.33,1354.16,1159.11,1641.47,923.4,896.1,1181.03,812.65,1466.81,811.4,1304.74,1414.74,952.05,976.25,852.39,890.14,1586.29,1484.39,1158.79
"2",7,121.02813,482.308,0,0.0511477749241287,0.0122738662400241,FALSE,1,29.92,85.06,183.4,497.17,277.17,558.36,685.96,39.16,150.17,342.14,322.48,157.75,542.59,542.59,41.14,67.5,242.89,776.87,1738.8,1467.53,1473.31,28.3,115.94,277.56,812.08,1552.08,1297.92,1560.23,33.36,114.78,272.29,607.35,1248.08,2149.36,1754.05
"3",11,122.2314,894.3,0,0.0930301409505505,0.73550998310408,FALSE,1,0,0,32.69,0,0,0,0,0,96.43,695.48,868.25,703.2,670.45,670.45,35.38,214.27,847.04,652.3,798.86,813.99,786.16,0,213.15,613.08,838.4,914.04,771.3,858.09,0,129.9,712.82,858.39,834.66,902.85,735.4
"4",21,122.89291,169.771,0,0.385695768223952,0.0152389856141105,FALSE,1,558.47,1379.81,1503.18,1101.27,1126.26,948.84,1255.56,66.01,287.38,624.12,117.58,102.17,107.15,107.15,56.16,264.51,545.57,1044.14,877.68,1109.8,1850.72,57.34,249.4,767.11,815.93,1214.01,921.25,1493.48,58.8,250.97,617.66,1045.71,534.56,840.13,1890.56
"5",23,123.04386,367.533,0,1.2258068643467e-07,1.45987406927578e-07,FALSE,1,0.58,0,3.99,0,40.17,0,0,14.6,0,7.98,0,29.31,0,0,8.92,2.16,9.11,0,944.58,2101.12,9790,10.93,4.29,7.84,93.57,322.71,985.03,9273.67,9.41,6.69,4.15,0,131.62,659.52,8985.19
"6",49,125.0959,778.992,0,0.261385431946286,0.0429378299711438,FALSE,1,37.52,467.05,921.86,1128.36,1156.87,869.4,1127.42,1534.35,1746.79,2308.75,2542.39,2413.21,2630.26,2630.26,1598.23,1590.19,2309.98,2489.82,2461.12,2498.41,3080.49,1451.25,1970.61,1904.78,2610.94,3642.83,4399.44,4256.42,1573.6,1623.78,2583.53,2386,2485.45,2999.06,3022.75
"7",50,125.53786,536.057,0,0.00971706612918321,0.332230262543804,FALSE,1,0,0,0,0,0,0,0,1026.49,1001.6,581.92,284.95,262.99,206,206,1191.59,830.66,607.48,44.6,0,0,45.88,856.41,1276.19,545.44,0,0,0,0,1424.34,924.77,760.83,76.3,0,0,0
"8",51,125.53778,420.605,0,0.00678810932923718,0.733567868905846,FALSE,1,0,0,0,0,0,0,0,838.77,957.65,536.63,0,538.27,104.31,104.31,709.95,614.58,458.86,0,0,0,0,742.09,680.92,447.95,0,0,0,0,846.28,647.85,512.14,151.43,0,0,0
"9",63,126.17676,420.866,0,0.0184880664718774,0.149125882292446,FALSE,1,1.72,0,0,0,0,27.98,0,1855.27,2431.98,1814.29,1006.15,1508.07,1367.12,1367.12,1620.35,1724.67,1737.35,448.53,0,0,0,1683.64,1965.55,1640.58,445.71,27.95,0,0,1909.7,1971.37,1874.92,798.04,147.04,21.07,0
"10",64,126.17695,517.0935,0,0.0143616334583628,0.21183284012821,FALSE,1,0,0,0,0,0,0,0,1768.09,2297.26,1813.68,1157.32,1417.88,903.69,903.69,1691.82,1604.78,1685.6,448.65,0,0,0,1846,1917.04,1562.58,482.12,87.16,39.81,0,1763.69,1948.47,1936.84,755.59,245.11,54.58,0
"11",71,126.8797,49.0746,0,0.156518390538468,0.0736395485071471,FALSE,1,6.84,32.79,79.78,158.91,209.6,231.07,277.91,183.31,233.74,446.42,658.43,1067.83,3081.69,3081.69,31.05,107.55,299.67,341.04,584.63,410.66,642.44,48.93,135.34,418.55,519.4,662.77,872.6,922.73,67.45,298.43,1011.76,1177.55,1085.63,968.33,862.43
"12",77,127.48408,535.873,0,0.0945707947582064,0.379655743653529,FALSE,1,0,0,0,0,0,0,0,981.51,1234.98,716.72,168.75,204.94,153.01,153.01,1549.18,1788.03,1634.02,20.37,0,0,0,1290.29,1704.12,1170.95,0,0,0,0,1094.01,2002.47,1188.88,50.08,0,0,0
"13",78,127.48401,420.51,0,0.0347962428523283,0.571779582026156,FALSE,1,2.76,0,0,0,0,0,0,720.21,978.18,583.97,0,0,0,0,1239.61,1365.84,1317.48,151.19,0,42.79,0,973.92,1258.06,756.73,37.95,0,44.24,0,892.03,1028.65,701.01,140.38,0,0,0
"14",79,127.48406,517.163,0,0.0303103196531118,0.381606430805718,FALSE,1,3.89,0,0,101.59,0,0,0,720.69,820.23,407.91,0,0,0,0,1195.47,1200.85,1088.16,144.16,0,0,0,1206.61,1154.73,1054.06,163.67,0,0,0,871.04,963.87,847.95,0,0,0,98.67
"15",86,127.92753,1361.44,0,0.219269648011728,0.635829927041954,FALSE,1,94.1,319.53,654.28,1240.18,1805.88,1611.91,528.13,87.24,395.03,530.19,1076.03,748.19,849.5,849.5,98.62,338.09,902.66,800.53,1638.78,831.99,1472.55,33.48,185.15,869.02,1157.77,1209.46,1252.17,827.52,55.63,151.62,1027.52,882.71,565.13,959.84,969.16
"16",88,128.03403,121.501,0,0.341319567548932,0.0319930272438055,FALSE,1,0.7,4947.94,5778.33,12998.4,19322.2,20814.31,37.01,1865.07,6457.22,8555.88,56870.19,55629.55,55557.05,55557.05,2192.02,6596.07,9624.51,19484.91,27553,30273.7,40.49,2045.22,6253.44,8611.39,21116.7,25498.7,28041.02,169.3,1949.77,6521.37,9081.06,19141.8,23538.32,26920.63,164.08
"17",93,128.8768,98.7657,0,0.575500644639877,0.350658587671918,FALSE,1,31.47,342.75,326.76,0,0,0,0,138.03,0,0,0,479.74,0,0,0,0,0,0,0,0,1114.53,0,0,0,0,0,0,0,0,0,0,729.14,0,0,0
"18",94,128.95825,75.2857,0,0.335379862316005,0.737317465522156,FALSE,1,1382.33,1851.1,395.51,3822.15,3375.63,2292.21,5081.97,14168.52,16837.32,2753.44,5671.53,3695.39,4189.5,4189.5,15604.05,15847.23,3760.42,5210.38,3517.44,5202.64,7325.47,15042.02,16438.26,3336.99,4101.08,5535.03,4071.93,7184.41,14914.66,15576.76,3179.73,5672.07,5349.73,5840.73,5281.06
"19",98,129.01816,189.1945,0,0.087033045648778,0.0860902583140384,FALSE,1,33.01,93.55,246.99,273.79,204.8,339.45,297.04,1273,1416.67,1179.35,3456.72,3592.67,2155.59,2155.59,1255.18,1276.59,1416.39,204.67,170.49,256.78,204.39,1134.82,1310.68,1249.72,235.1,462.39,377.43,291.05,1201.98,1898.45,1444.95,358.85,390.72,321.03,364.41
"20",145,131.08942,799.619,0,0.522545443726717,0.020978529014032,FALSE,1,50.88,121.61,324.15,1091,612.05,560.53,666.23,92.19,219.1,312.51,679.4,570.59,567.72,567.72,62.82,175.77,399.97,833.43,608.07,1489.83,1625.98,62.89,175.8,387.33,712.26,1137.46,1786.27,1978.5,77.92,251.66,384.85,651.99,1567.81,1981.09,718.05
"21",148,131.99922,662.897,0,0.606908332042184,0.00507137418505687,FALSE,1,3.67,0,0,0,0,43.78,27.58,0,0,0,1220.47,1518.55,2064.9,2064.9,0,22.64,0,0,0,0,0,12.97,18.27,0,0,0,0,0,0,0,20.7,0,0,0,0
"22",161,132.86658,48.89715,0,0.748427959450677,0.689718280445617,FALSE,1,72.7,182.56,1112.36,952.55,859.41,1098.27,1328.98,416.36,564.12,2602.17,1743.41,2229.25,2988.62,2988.62,58.7,168.63,1167,1472.88,2435.73,1893.29,2876.1,173.31,256.06,1167.17,2470.95,1760.87,2140.84,3697.45,294.43,1335.08,1748.89,2431.91,2246.87,987.57,2384.5
"23",174,132.92224,1064.765,0,0.594280326189827,0.711147789526837,FALSE,1,240.64,721.64,1770.18,2677.33,3074.01,3062.71,2574.04,361.7,1167.93,1677.04,3689.82,3536.75,4032.86,4032.86,280.86,805.08,949.38,3284.3,1403.72,4145.93,2878.07,275.66,838.99,2111.07,4755.93,4648.06,4496.85,3178.16,302.21,994.95,2239.72,807.07,3346.8,4400.77,4501.24
"24",184,133.02829,582.851,0,0.142336597253172,0.654920545787388,FALSE,1,0,7.94,16.16,29.51,24.56,30.37,41.04,1109.34,1380,835.61,363.2,294.78,82.67,82.67,1606.84,1408.51,1353.05,24.34,59.88,0,20.94,1294.78,1644.34,1114.88,30.45,23.81,0,0,1163.39,1320.27,1193.83,4034.95,0,0,44.51
"25",185,133.02706,535.7475,0,0.0786596094896555,0.078984349288362,FALSE,1,0,0,29.15,0,0,0,0,432.18,557.23,469.8,124.64,185.29,331.1,331.1,1018.36,1407.71,1191.19,276.07,97.52,28.74,34.63,888.8,1103.51,499.82,0,44.33,120.17,62,805.88,1193.87,847.37,0,0,37.26,73.91
"26",191,133.4883,531.502,0,0.728031999173256,0.210420738727538,FALSE,1,0,0,0,0,0,0,0,0,0,0,2777.52,2099.15,1353.47,1353.47,0,0,0,0,0,24.38,21.44,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",194,134.0348,525.5375,0,0.00106924708664466,0.376361283957628,FALSE,1,11.33,16.85,0,0,75.6,0,0,1171.66,1073.77,460.05,490.92,550.18,371.87,371.87,1165.22,1023.32,521.34,176.2,147.27,0,49.25,1057.64,1120.89,723.16,368.17,164.08,50.48,203.38,1159.05,899.92,651.82,260.93,290.18,44.37,115.51
"28",195,134.03482,617.671,0,0.0254896504187773,0.635829927041954,FALSE,1,15.04,0,45.97,236.78,74.76,300.22,64.97,928.56,708.36,572.69,436.19,169.93,280.83,280.83,962.48,668.79,600.87,258.31,342.36,113.06,201.53,777.28,684.33,513.35,373.68,606.93,347.15,335.86,819,828.88,633.76,314.52,386.96,243.02,170.38
