"index","mzmed","rtmed","matched","qSvsMB","qSvsNC","swipesRight","swipesTotal","MB_0","MB_1","MB_2.5","MB_4.5","MB_6.5","MB_8.5","MB_26.5","NC_0","NC_1","NC_2.5","NC_4.5","NC_6.5","NC_8.5","NC_26.5","S1_0","S1_1","S1_2.5","S1_4.5","S1_6.5","S1_8.5","S1_26.5","S2_0","S2_1","S2_2.5","S2_4.5","S2_6.5","S2_8.5","S2_26.5","S3_0","S3_1","S3_2.5","S3_4.5","S3_6.5","S3_8.5","S3_26.5"
44,122.09652,252.306,0,0.32399,0.0374,0,0,69.11,139.44,283.2,477.31,705.09,520.72,542.83,50.4,140.42,280.24,184.84,345.28,238.57,238.57,50.08,139.44,324.5,2000.53,3163.8,1471.12,733.05,32.59,117.82,320.01,2502.39,4664.75,3415.84,908.65,41.44,132.43,297.35,3325.31,4700.44,3803.81,1101.51
53,122.87395,1138.86,0,0.099,0.50928,0,0,0,31.84,0,0,0,0,0,0,0,45.55,1519.79,1879.63,2136.46,2136.46,0,0,0,1883.56,1986.76,1276.52,1562.23,0,0,0,1243.96,0,1377.09,2044.33,0,25.41,58.27,1249.85,1739.28,1781.26,2253.84
117,124.25451,535.669,0,0.69607,0.74111,0,0,0,0,0,0,0,0,0,899.77,425.06,0,0,0,0,0,801.65,229.05,0,0,185.43,0,0,918.41,465.64,0,0,0,0,0,893.86,425.46,114.81,0,0,0,0
126,124.87873,536.2145,0,0.06042,0.66225,0,0,0,0,0,0,0,0,0,1950.25,2026.26,1312.19,519.14,565.81,356.14,356.14,1865.26,2019.92,1285.57,93.22,81.2,0,0,2080.88,2133.06,1460.06,0,0,0,130.64,2052.93,242.72,1566.99,0,0,0,0
127,124.87898,421.734,0,0.27988,0.69272,0,0,0,0,0,0,0,0,0,1290.17,606.79,223.14,0,0,0,0,1075.99,473.1,0,577.65,0,0,0,986.53,468.64,203,0,0,0,0,1099.15,552.41,323.34,0,0,0,0
186,127.03902,294.141,0,0.04977,0.01077,0,0,118.36,299.86,975.95,775.66,671.46,889.95,977.76,1124.36,1083.14,1206.02,1494.01,1344.04,1636.89,1636.89,1075.28,1038.49,1295.76,2903.02,7663.49,9226.55,12285.71,1078.43,1120.99,1304.3,2742.06,7394.16,9926.81,12348.89,1128.73,1016.2,1415.72,2852.31,7279.75,9916.42,12987.35
189,127.03903,193.165,0,0,0,0,0,159.51,429.56,1314.66,1315.68,1033.87,888.08,912.5,162.11,365.42,953.41,989.18,948.4,1035.5,1035.5,120.8,325.17,985.37,1092.73,2464.57,4334.72,17262.72,137.24,371.59,938.51,1221.15,2184.12,3143.08,17137.88,128.22,408.52,1087.77,967.85,1530.49,2283.34,15766.68
212,128.01938,61.5973,0,0.28012,0.1748,0,0,330.96,1706.55,2121.32,6778.12,9114.82,8990.67,8799.71,11363.52,13826,12884.05,19790.54,20664.82,19607.56,19607.56,12756.31,13576.04,16224.24,14053.31,15637.61,16701.7,19300.63,11983.49,14679.62,13795.89,13906.27,15825.54,17931.81,18086.77,11752.72,12007.25,14626.48,15969.52,14540.44,17387.71,17593.93
286,128.9872,125.563,0,0.28001,0.64708,0,0,1490.28,4061.6,9450.1,10152.72,7934.61,9472.58,10575.79,10848.13,9923.91,7752.29,2219.13,1316.74,9380.82,9380.82,10983.22,7949.84,9097.45,9809.79,9051.42,8416.51,8924.3,10926.28,10007.47,7905.86,8640.79,8808.66,8227.78,7734.92,10531.48,10194.99,9335.65,122.31,6944.18,105.43,6917.15
320,130.00797,1366.18,0,0.60115,0.6577,0,0,677.16,2248.69,3245.16,6005.48,4964.39,6030.34,11654.71,456.63,2248.36,3303.2,5405.15,4608.57,4594.71,4594.71,537.94,2282.13,3603.39,9122.65,6432.34,5596.17,6766.51,514.07,2004.39,3896.87,7229.87,5163.26,5720.35,4818.3,486.63,1592.88,4067.36,6592.34,5715.42,5400.62,6284.09
324,130.00781,102.853,0,0.36229,0.08963,0,0,50.29,1328.65,865.55,5161.2,7817.78,10479.15,179.14,2.68,3273.45,2122.43,30460.15,27679.7,28701.54,28701.54,279.99,1498.72,5047.1,11984.65,17058.4,15631.77,273.09,259.77,3514.07,2420.32,13699.31,17175.31,21323.7,411.69,241,105.19,182.67,8643.59,14005.35,21192.79,145.48
362,130.5839,65.3355,0,0.08646,0.67006,0,0,0,125.41,426.39,462.15,959.41,713.92,1803.14,0,253.84,781.63,987.65,937.33,963.71,963.71,0,156.33,112.24,237.89,932.39,567.4,1106.17,0,162.46,434,741.3,554.85,429.14,722.6,33.2,142.16,693.35,216.16,620.51,1607.08,198.56
450,131.11789,193.242,0,0.41425,0.02954,0,0,359.9,876.12,2521.68,3851.4,3363.66,4271.84,8142.07,270.42,681.91,1771.17,1512.57,1443.07,1586.64,1586.64,305.08,737.13,1940.24,2063.68,2691.21,2536.95,3415.45,279.29,772.57,1864.86,2459.17,1959.17,1655.52,4261,296.6,614.89,2061.03,2170.76,2685.45,3079.69,6903.6
457,131.53346,1083.58,0,0.48686,0.22035,0,0,1540.27,4405.63,8757.79,14138.36,12127.23,11803.92,23637.7,664.33,1963.06,4472.06,4927.02,5290.2,5617.39,5617.39,633.46,3680.85,6891.61,12138.2,11157.07,11092.7,10774.36,1044.53,3060.42,5958.19,10546.01,9136.21,9574.88,10717.26,900.46,3212.48,6352.7,8926.44,8868.7,8294.23,8561.74
501,132.14485,445.6825,0,0.42454,0.68239,0,0,260.67,894.21,2034.72,2959.29,2809.27,2633.82,4421.95,206.61,868.85,1650.88,2810.29,4092.83,3006.42,3006.42,247.58,735.65,1706.82,2801.26,3026.79,3978.24,2746.36,241.98,791.59,2047.94,2491.45,3968.91,4471.66,2936.36,302.29,653.72,1512.07,3532.84,3211.91,3666.4,2734.24
527,133.10116,859.556,0,0.00999,0.00114,0,0,192.39,590.33,1028.73,1520.5,1364.03,1435.13,1743.27,1075.79,1219.06,1693.8,1632.52,1622.13,1895.46,1895.46,807.06,1176.64,1820.12,4344.27,5504.68,5945.77,6407.16,773.15,1233.38,1741,4233.56,5406.61,5913.15,6634.08,705.34,1135.66,1548.19,3833.88,4880.88,6057.04,7178.39
529,133.10115,696.781,0,0.17153,0.25135,0,0,190.76,300.57,1080.85,1039.63,1255.48,1191.96,1901.19,3151.16,3731.13,3889.35,3081.59,2910.46,2831.26,2831.26,3779.48,4206.85,4931.37,3438.32,2125.87,1465.32,1567.49,2784.51,3388,4568.76,2757.05,2339.97,1461.82,1051.89,2998.71,3624.91,4344.49,2162.22,1433.1,1615.99,646.39
556,134.06405,80.5649,0,0.73323,0.07117,0,0,119.81,2199.02,1724.7,2491.15,2614.39,2439.56,3553.72,3290.91,3064.03,2769.98,5175.64,4899.28,4529.48,4529.48,679.72,2463.34,2879.97,3061.69,2856.35,2110.1,5335.39,3559.37,3576,2404.16,1852.64,2425.87,2171.4,4336.85,3546.26,2665,1514.51,2528.14,2084.88,2007.23,3715.43
558,134.07149,341.6925,0,0.78822,0.00577,0,0,161.81,368.38,1132.83,1753.15,1636.94,1941.14,1527.63,90.91,253.39,565.2,138.68,232.29,490.71,490.71,122.7,280.41,752.83,1728.12,1719.34,2167,2736.57,101.85,287.27,774.12,1417.97,2178.35,1903.7,1760.86,113.03,232.19,689.96,1329.06,1518.28,1874.64,2008.75
560,134.08114,84.1089,0,0.45488,0.07639,0,0,333.09,1935.35,1465.67,2923.27,2940.02,2742.16,4454.52,2925.24,2905.85,2040.07,5008.19,5430.66,4621.46,4621.46,2937.37,2933.37,2451.84,3334.07,3574.28,1617.13,6574.27,3145.16,2640.54,3947.98,2491.54,2850.76,2899.4,5420.78,3170.91,2979.95,1753.89,3267.3,2639.12,1634.22,4910.37
579,135.044,535.95,0,0.37282,0.42364,0,0,90.92,255.8,701.35,771.71,653.09,688.92,684.43,2409.72,2798.79,2385.22,1582.33,1529.6,1195.51,1195.51,3868.41,2588.19,2455.45,592.79,762.32,457.82,550.95,2534.29,2751.35,2355.31,647.48,466.68,448.3,531.88,2400.22,2387.8,6728.66,820.01,251.6,483.28,618.75
